question,answer,topic,difficulty
What is machine learning?,A branch of AI that allows systems to learn from data without explicit programming.,Machine Learning,easy
Compare supervised and unsupervised learning,Supervised learning uses labeled training data; unsupervised learning seeks hidden structures in unlabeled data.,Machine Learning,medium
"Given a model with high training accuracy but low validation accuracy, explain the likely issue",The model is overfitting to the training set and failing to generalize.,Model Evaluation,hard
What is a database index?,A data structure that improves the speed of data retrieval operations.,Databases,easy
Explain the difference between SQL and NoSQL databases,SQL databases are relational and table-based; NoSQL databases are non-relational and document/key-value based.,Databases,medium
Design a indexing strategy for a database table with high write activity but heavy filter queries on three columns,"Use composite B-tree indexes carefully aligned to query filter order, or partition the table to minimize write amplification.",Databases,hard
Define the term cell in biology,"The basic structural, functional, and biological unit of all known organisms.",Biology,easy
Explain how photosynthesis converts light energy to chemical energy,Photosynthesis captures sunlight with chlorophyll to convert carbon dioxide and water into glucose and oxygen.,Biology,medium
Analyze the role of the electron transport chain during cellular respiration and the consequences of oxygen deprivation,"Oxygen is the terminal electron acceptor; deprivation halts ATP synthesis, causing cell death via metabolic arrest.",Biology,hard
What is a variable in programming?,A stored value in memory that can be referenced and altered in a program.,Computer Science,easy
Explain the difference between a stack and a queue,A stack is Last-In First-Out (LIFO); a queue is First-In First-Out (FIFO).,Computer Science,medium
Implement a thread-safe priority queue with logarithmic operations and explain its race condition preventions,Use a binary heap backed by atomic operations and re-entrant mutex locks during insertion and extraction.,Computer Science,hard
State Newton's first law of motion,"An object at rest stays at rest, and an object in motion stays in motion unless acted upon by an external force.",Physics,easy
Explain the difference between kinetic energy and potential energy,Kinetic energy is energy of motion; potential energy is stored energy due to position or state.,Physics,medium
Derive the escape velocity formula for a rocket leaving a planet of mass M and radius R,Integrate gravitational force from radius R to infinity and equate kinetic energy to negative potential energy.,Physics,hard
What was the main cause of World War I?,Assassination of Archduke Franz Ferdinand along with complex alliances and militarism.,History,easy
Describe the impact of the Industrial Revolution on urban development in the 19th century,"It caused rapid urbanization, massive population shifts from rural to urban zones, and poor sanitation.",History,medium
Critically assess how post-WWI reparations and the Treaty of Versailles directly influenced the economic collapse of the Weimar Republic,"Reparations triggered hyperinflation, eroded public faith in democratic systems, and created social unrest.",History,hard
What is a prime number?,A number greater than 1 that has no positive divisors other than 1 and itself.,Mathematics,easy
Explain how to find the derivative of a function using the power rule,Multiply by the exponent and subtract one from the exponent of the variable.,Mathematics,medium
Prove that the square root of 2 is an irrational number using a proof by contradiction,"Assume it is rational (a/b in lowest terms), square both sides, show a and b must both be even, contradicting lowest terms.",Mathematics,hard
What is HTML?,"HyperText Markup Language, the standard language for creating web pages.",Web Development,easy
Explain how client-side rendering differs from server-side rendering,Client-side renders pages in the browser using JS; server-side builds HTML on the server and delivers it.,Web Development,medium
Optimize a React application experiencing layout thrashing during virtualized window scrolls with deep DOM trees,"Throttle scroll events, use absolute positioning offsets, offload calculations to requestAnimationFrame, and memoize nodes.",Web Development,hard
Define photosynthesis,"The process by which plants make food using sunlight, water, and carbon dioxide.",Biology,easy
What is the difference between mitosis and meiosis?,Mitosis produces two genetically identical diploid cells; meiosis produces four genetically unique haploid cells.,Biology,medium
Explain how CRISPR-Cas9 performs gene editing at the molecular level,It uses a guide RNA to locate a target DNA sequence and the Cas9 enzyme to introduce a double-stranded break.,Biology,hard
What is gravity?,A force that pulls objects toward each other.,Physics,easy
How does a nuclear reactor generate electricity?,"Fission heats water into steam, which spins a turbine connected to an electric generator.",Physics,medium
Explain the significance of the Michelson-Morley experiment and its impact on the ether theory,"It found no difference in light speed, disproving the luminiferous ether and paving the way for special relativity.",Physics,hard
Who was the first president of the United States?,George Washington.,History,easy
Explain the main goals of the New Deal during the Great Depression,"To provide relief for the unemployed, recovery for the economy, and reform of financial systems.",History,medium
Evaluate the long-term geopolitical and socioeconomic consequences of the Fall of Constantinople in 1453,"It severed European trade routes to Asia, sparking the Age of Discovery, and triggered the Greek diaspora.",History,hard
Apa yang dimaksud dengan kecerdasan buatan?,Teknologi yang memungkinkan mesin untuk belajar dan meniru kecerdasan manusia.,Kecerdasan Buatan,easy
Apa fungsi utama dari RAM pada komputer?,Menyimpan data secara sementara untuk diproses dengan cepat oleh CPU.,Ilmu Komputer,easy
Siapakah presiden pertama Republik Indonesia?,Ir. Soekarno.,Sejarah,easy
Apakah yang dimaksud dengan fotosintesis?,Proses tumbuhan membuat makanan menggunakan cahaya matahari.,Biologi,easy
Berapakah hasil dari 15 dikalikan dengan 4?,Hasilnya adalah 60.,Matematika,easy
Apa kegunaan utama dari HTML pada pembuatan website?,Untuk membuat struktur dasar dan layout dari suatu halaman web.,Teknologi Informasi,easy
Apakah hukum gravitasi universal Newton menjelaskan kekuatan tarik-menarik?,"Ya, menjelaskan gaya tarik antara dua benda bermassa yang berbanding terbalik dengan kuadrat jarak.",Fisika,easy
Apa itu sel dalam pelajaran biologi?,Unit struktural dan fungsional terkecil dari makhluk hidup.,Biologi,easy
Apa fungsi utama dari kabel serat optik?,Mengirimkan data dengan kecepatan tinggi menggunakan pulsa cahaya.,Jaringan Komputer,easy
Berapakah jumlah sudut dalam sebuah segitiga sama sisi?,180 derajat.,Matematika,easy
Siapakah penemu bola lampu pijar yang terkenal?,Thomas Alva Edison.,Sejarah,easy
Jelaskan perbedaan antara pembelahan sel mitosis dan meiosis,"Mitosis menghasilkan dua sel anakan diploid yang identik, sedangkan meiosis menghasilkan empat sel haploid yang berbeda untuk reproduksi.",Biologi,medium
Bagaimana cara kerja algoritma Binary Search dibandingkan dengan Linear Search?,"Binary Search membagi data terurut menjadi dua bagian berulang kali (O(log n)), sedangkan Linear Search memeriksa satu per satu (O(n)).",Ilmu Komputer,medium
